date,close
2022/1/4,29301.79
2022/1/5,29332.16
2022/1/6,28487.87
2022/1/7,28478.56
2022/1/11,28222.48
2022/1/12,28765.66
2022/1/13,28489.13
2022/1/14,28124.28
2022/1/17,28333.52
2022/1/18,28257.25
2022/1/19,27467.23
2022/1/20,27772.93
2022/1/21,27522.26
2022/1/24,27588.37
2022/1/25,27131.34
2022/1/26,27011.33
2022/1/27,26170.3
2022/1/28,26717.34
2022/1/31,27001.98
2022/2/1,27078.48
2022/2/2,27533.6
2022/2/3,27241.31
2022/2/4,27439.99
2022/2/7,27248.87
2022/2/8,27284.52
2022/2/9,27579.87
2022/2/10,27696.08
2022/2/14,27079.59
2022/2/15,26865.19
2022/2/16,27460.4
2022/2/17,27232.87
2022/2/18,27122.07
2022/2/21,26910.87
2022/2/22,26449.61
2022/2/24,25970.82
2022/2/25,26476.5
2022/2/28,26526.82
2022/3/1,26844.72
2022/3/2,26393.03
2022/3/3,26577.27
2022/3/4,25985.47
2022/3/7,25221.41
2022/3/8,24790.95
2022/3/9,24717.53
2022/3/10,25690.4
2022/3/11,25162.78
2022/3/14,25307.85
2022/3/15,25346.48
2022/3/16,25762.01
2022/3/17,26652.89
2022/3/18,26827.43
2022/3/22,27224.11
2022/3/23,28040.16
2022/3/24,28110.39
2022/3/25,28149.84
2022/3/28,27943.89
2022/3/29,28252.42
2022/3/30,28027.25
2022/3/31,27821.43
2022/4/1,27665.98
2022/4/4,27736.47
2022/4/5,27787.98
2022/4/6,27350.3
2022/4/7,26888.57
2022/4/8,26985.8
2022/4/11,26821.52
2022/4/12,26334.98
2022/4/13,26843.49
2022/4/14,27172
2022/4/15,27093.19
2022/4/18,26799.71
2022/4/19,26985.09
2022/4/20,27217.85
2022/4/21,27553.06
2022/4/22,27105.26
2022/4/25,26590.78
2022/4/26,26700.11
2022/4/27,26386.63
2022/4/28,26847.9
2022/5/2,26818.53
2022/5/6,27003.56
2022/5/9,26319.34
2022/5/10,26167.1
2022/5/11,26213.64
2022/5/12,25748.72
2022/5/13,26427.65
2022/5/16,26547.05
2022/5/17,26659.75
2022/5/18,26911.2
2022/5/19,26402.84
2022/5/20,26739.03
2022/5/23,27001.52
2022/5/24,26748.14
2022/5/25,26677.8
2022/5/26,26604.84
2022/5/27,26781.68
2022/5/30,27369.43
2022/5/31,27279.8
2022/6/1,27457.89
2022/6/2,27413.88
2022/6/3,27761.57
2022/6/6,27915.89
2022/6/7,27943.95
2022/6/8,28234.29
2022/6/9,28246.53
2022/6/10,27824.29
2022/6/13,26987.44
2022/6/14,26629.86
2022/6/15,26326.16
2022/6/16,26431.2
2022/6/17,25963
2022/6/20,25771.22
2022/6/21,26246.31
2022/6/22,26149.55
2022/6/23,26171.25
2022/6/24,26491.97
2022/6/27,26871.27
2022/6/28,27049.47
2022/6/29,26804.6
2022/6/30,26393.04
2022/7/1,25935.62
2022/7/4,26153.81
2022/7/5,26423.47
2022/7/6,26107.65
2022/7/7,26490.53
2022/7/8,26517.19
2022/7/11,26812.3
2022/7/12,26336.66
2022/7/13,26478.77
2022/7/14,26643.39
2022/7/15,26788.47
2022/7/19,26961.68
2022/7/20,27680.26
2022/7/21,27803
2022/7/22,27914.66
2022/7/25,27699.25
2022/7/26,27655.21
2022/7/27,27715.75
2022/7/28,27815.48
2022/7/29,27801.64
2022/8/1,27993.35
2022/8/2,27594.73
2022/8/3,27741.9
2022/8/4,27932.2
2022/8/5,28175.87
2022/8/8,28249.24
2022/8/9,27999.96
2022/8/10,27819.33
2022/8/12,28546.98
2022/8/15,28871.78
2022/8/16,28868.91
2022/8/17,29222.77
2022/8/18,28942.14
2022/8/19,28930.33
2022/8/22,28794.5
2022/8/23,28452.75
2022/8/24,28313.47
2022/8/25,28479.01
2022/8/26,28641.38
2022/8/29,27878.96
2022/8/30,28195.58
2022/8/31,28091.53
2022/9/1,27661.47
2022/9/2,27650.84
2022/9/5,27619.61
2022/9/6,27626.51
2022/9/7,27430.3
2022/9/8,28065.28
2022/9/9,28214.75
2022/9/12,28542.11
2022/9/13,28614.63
2022/9/14,27818.62
2022/9/15,27875.91
2022/9/16,27567.65
2022/9/20,27688.42
2022/9/21,27313.13
2022/9/22,27153.83
2022/9/26,26431.55
2022/9/27,26571.87
2022/9/28,26173.98
2022/9/29,26422.05
2022/9/30,25937.21
2022/10/3,26215.79
2022/10/4,26992.21
2022/10/5,27120.53
2022/10/6,27311.3
2022/10/7,27116.11
2022/10/11,26401.25
2022/10/12,26396.83
2022/10/13,26237.42
2022/10/14,27090.76
2022/10/17,26775.79
2022/10/18,27156.14
2022/10/19,27257.38
2022/10/20,27006.96
2022/10/21,26890.58
2022/10/24,26974.9
2022/10/25,27250.28
2022/10/26,27431.84
2022/10/27,27345.24
2022/10/28,27105.2
2022/10/31,27587.46
2022/11/1,27678.92
2022/11/2,27663.39
2022/11/4,27199.74
2022/11/7,27527.64
2022/11/8,27872.11
2022/11/9,27716.43
2022/11/10,27446.1
2022/11/11,28263.57
2022/11/14,27963.47
2022/11/15,27990.17
2022/11/16,28028.3
2022/11/17,27930.57
2022/11/18,27899.77
2022/11/21,27944.79
2022/11/22,28115.74
2022/11/24,28383.09
2022/11/25,28283.03
2022/11/28,28162.83
2022/11/29,28027.84
2022/11/30,27968.99
2022/12/1,28226.08
2022/12/2,27777.9
2022/12/5,27820.4
2022/12/6,27885.87
2022/12/7,27686.4
2022/12/8,27574.43
2022/12/9,27901.01
2022/12/12,27842.33
2022/12/13,27954.85
2022/12/14,28156.21
2022/12/15,28051.7
2022/12/16,27527.12
2022/12/19,27237.64
2022/12/20,26568.03
2022/12/21,26387.72
2022/12/22,26507.87
2022/12/23,26235.25
2022/12/26,26405.87
2022/12/27,26447.87
2022/12/28,26340.5
2022/12/29,26093.67
2022/12/30,26094.5
2023/1/4,25716.86
2023/1/5,25820.8
2023/1/6,25973.85
2023/1/10,26175.56
2023/1/11,26446
2023/1/12,26449.82
2023/1/13,26119.52
2023/1/16,25822.32
2023/1/17,26138.68
2023/1/18,26791.12
2023/1/19,26405.23
2023/1/20,26553.53
2023/1/23,26906.04
2023/1/24,27299.19
2023/1/25,27395.01
